concat latlng,Latitude,Longitude
-26.3880981 153.0055141,-26.3880981,153.0055141
-26.3883742 153.0874127,-26.3883742,153.0874127
-26.3884052 153.0302339,-26.3884052,153.0302339
-26.3890717 153.0922418,-26.3890717,153.0922418
-26.3890775 153.0840528,-26.3890775,153.0840528
-26.3891386 153.0332235,-26.3891386,153.0332235
-26.39007 153.0832372,-26.39007,153.0832372
-26.3901011 153.0836387,-26.3901011,153.0836387
-26.3903584 153.0353048,-26.3903584,153.0353048
-26.3907695 153.0131252,-26.3907695,153.0131252
-26.3908405 153.0393355,-26.3908405,153.0393355
-26.3909544 153.0129872,-26.3909544,153.0129872
-26.390966 153.0839148,-26.390966,153.0839148
-26.3910967 153.0128492,-26.3910967,153.0128492
-26.3911463 153.0343059,-26.3911463,153.0343059
-26.3912389 153.0127113,-26.3912389,153.0127113
-26.391279 153.0903095,-26.391279,153.0903095
-26.391371 153.0396725,-26.391371,153.0396725
-26.3914787 153.0900335,-26.3914787,153.0900335
-26.391481 153.0926788,-26.391481,153.0926788
-26.3915477 153.0143028,-26.3915477,153.0143028
-26.3915952 153.0372426,-26.3915952,153.0372426
-26.3916022 153.0130332,-26.3916022,153.0130332
-26.3919462 153.0093771,-26.3919462,153.0093771
-26.39201 153.039707,-26.39201,153.039707
-26.3920528 153.0779739,-26.3920528,153.0779739
-26.3920532 153.0091701,-26.3920532,153.0091701
-26.3920779 153.0386969,-26.3920779,153.0386969
-26.3921928 153.0132172,-26.3921928,153.0132172
-26.3922031 153.0924303,-26.3922031,153.0924303
-26.3922048 153.0366961,-26.3922048,153.0366961
-26.3924456 153.0882853,-26.3924456,153.0882853
-26.3925199 153.0786473,-26.3925199,153.0786473
-26.3925354 153.0905234,-26.3925354,153.0905234
-26.3927283 153.0376065,-26.3927283,153.0376065
-26.392729 153.0093541,-26.392729,153.0093541
-26.3930272 152.9281937,-26.3930272,152.9281937
-26.3932065 152.9255099,-26.3932065,152.9255099
-26.3936146 153.0403987,-26.3936146,153.0403987
-26.3940108 153.0869678,-26.3940108,153.0869678
-26.3941136 153.0727359,-26.3941136,153.0727359
-26.3942386 153.0892259,-26.3942386,153.0892259
-26.3942576 153.0886648,-26.3942576,153.0886648
-26.3942847 153.0404369,-26.3942847,153.0404369
-26.3944921 153.0889293,-26.3944921,153.0889293
-26.3947077 153.0941051,-26.3947077,153.0941051
-26.3947762 153.0947208,-26.3947762,153.0947208
-26.3948876 153.0932769,-26.3948876,153.0932769
-26.3953557 153.0941511,-26.3953557,153.0941511
-26.395555 153.0105389,-26.395555,153.0105389
-26.3956721 153.0900438,-26.3956721,153.0900438
-26.3957064 153.0907236,-26.3957064,153.0907236
-26.3957593 153.0908271,-26.3957593,153.0908271
-26.3959805 153.0715973,-26.3959805,153.0715973
-26.3959922 153.0794983,-26.3959922,153.0794983
-26.3960454 153.0904471,-26.3960454,153.0904471
-26.3960627 153.0144589,-26.3960627,153.0144589
-26.3960671 153.0894466,-26.3960671,153.0894466
-26.3960671 153.0894466,-26.3960671,153.0894466
-26.3960671 153.0894466,-26.3960671,153.0894466
-26.3960671 153.0894466,-26.3960671,153.0894466
-26.3960671 153.0894466,-26.3960671,153.0894466
-26.3961679 153.0883699,-26.3961679,153.0883699
-26.3962004 153.0900133,-26.3962004,153.0900133
-26.396267 153.0711718,-26.396267,153.0711718
-26.3962903 153.0191499,-26.3962903,153.0191499
-26.3963928 153.0880092,-26.3963928,153.0880092
-26.3964554 153.0876872,-26.3964554,153.0876872
-26.3964938 153.0191039,-26.3964938,153.0191039
-26.396579 153.0453662,-26.396579,153.0453662
-26.3966263 153.0767381,-26.3966263,153.0767381
-26.3967467 153.0461942,-26.3967467,153.0461942
-26.3967878 153.0886993,-26.3967878,153.0886993
-26.3968042 153.0904803,-26.3968042,153.0904803
-26.396805 153.0254112,-26.396805,153.0254112
-26.3968458 153.024601,-26.3968458,153.024601
-26.3968458 153.024601,-26.3968458,153.024601
-26.3968706 153.0260026,-26.3968706,153.0260026
-26.396895 153.0884923,-26.396895,153.0884923
-26.3969026 153.0875719,-26.3969026,153.0875719
-26.3969026 153.0875719,-26.3969026,153.0875719
-26.3969522 153.0896552,-26.3969522,153.0896552
-26.397062 153.048172,-26.397062,153.048172
-26.397157 153.090841,-26.397157,153.090841
-26.3972073 153.0209435,-26.3972073,153.0209435
-26.3972101 153.0909996,-26.3972101,153.0909996
-26.3974939 153.0294981,-26.3974939,153.0294981
-26.3974976 153.0916733,-26.3974976,153.0916733
-26.3976066 153.0170343,-26.3976066,153.0170343
-26.3976627 153.0459872,-26.3976627,153.0459872
-26.3976747 153.0907696,-26.3976747,153.0907696
-26.397677 153.005629,-26.397677,153.005629
-26.3977072 153.0452817,-26.3977072,153.0452817
-26.3977658 153.0255887,-26.3977658,153.0255887
